ensembl_id,gene_length_bp
ENSG00000008394,6213
ENSG00000008405,5062
ENSG00000008438,720
ENSG00000008441,6302
ENSG00000008513,8730
ENSG00000008516,4126
ENSG00000008517,2924
ENSG00000008710,18532
ENSG00000008735,6107
ENSG00000008838,6962
ENSG00000008853,6580
ENSG00000008869,8206
ENSG00000008952,7928
ENSG00000008988,2931
ENSG00000009307,5755
ENSG00000009335,9218
ENSG00000009413,12417
ENSG00000009694,12896
ENSG00000009709,6313
ENSG00000009724,4251
ENSG00000009765,10362
ENSG00000009780,4034
ENSG00000009790,7753
ENSG00000009830,10012
ENSG00000009844,7194
ENSG00000009950,4815
ENSG00000009954,7053
ENSG00000010017,3480
ENSG00000010030,2369
ENSG00000010072,5906
ENSG00000010165,3843
ENSG00000010219,5911
ENSG00000010244,15834
ENSG00000010256,3236
ENSG00000010270,4348
ENSG00000010278,3218
ENSG00000010282,2891
ENSG00000010292,6487
ENSG00000010295,5193
ENSG00000010310,4736
ENSG00000010318,3367
ENSG00000010319,5011
ENSG00000010322,9161
ENSG00000010327,10588
ENSG00000010361,2951
ENSG00000010379,4241
ENSG00000010404,10496
ENSG00000010438,1614
ENSG00000010539,7498
ENSG00000010610,4583
ENSG00000010626,3054
ENSG00000010671,4227
ENSG00000010704,5675
ENSG00000010803,4447
ENSG00000010810,7411
ENSG00000010818,9774
ENSG00000010932,3574
ENSG00000011007,5391
ENSG00000011009,2196
ENSG00000011021,6884
ENSG00000011028,6860
ENSG00000011052,1241
ENSG00000011083,4391
ENSG00000011105,5714
ENSG00000011114,11333
ENSG00000011132,5556
ENSG00000011143,4073
ENSG00000011198,3172
ENSG00000011201,7131
ENSG00000011243,5081
ENSG00000011258,7201
ENSG00000011260,2721
ENSG00000011275,7619
ENSG00000011295,5966
ENSG00000011304,6969
ENSG00000011332,4800
ENSG00000011347,5953
ENSG00000011376,5393
ENSG00000011405,9204
ENSG00000011422,4457
ENSG00000011426,6012
ENSG00000011451,8155
ENSG00000011454,8181
ENSG00000011465,8083
ENSG00000011478,2396
ENSG00000011485,7059
ENSG00000011523,8623
ENSG00000011566,6067
ENSG00000011590,2770
ENSG00000011600,907
ENSG00000011638,2558
ENSG00000011677,4193
ENSG00000012048,8278
ENSG00000012061,5576
ENSG00000012124,5839
ENSG00000012174,8927
ENSG00000012211,3396
ENSG00000012223,4247
ENSG00000012232,13220
ENSG00000012504,3460
ENSG00000012660,4223
ENSG00000012779,3685
ENSG00000012817,9463
ENSG00000012822,6296
ENSG00000012963,3694
ENSG00000012983,7620
ENSG00000013016,4959
ENSG00000013275,2387
ENSG00000013288,8898
ENSG00000013293,10459
ENSG00000013297,6032
ENSG00000013306,3526
ENSG00000013364,6136
ENSG00000013374,5411
ENSG00000013375,7331
ENSG00000013392,4686
ENSG00000013441,5125
ENSG00000013503,4858
ENSG00000013523,5347
ENSG00000013561,4834
ENSG00000013563,4130
ENSG00000013573,8374
ENSG00000013583,3442
ENSG00000013588,8440
ENSG00000013619,5958
ENSG00000013725,5995
ENSG00000013810,4682
ENSG00000014123,4539
ENSG00000014138,5726
ENSG00000014164,3731
ENSG00000014216,7553
ENSG00000014257,4193
ENSG00000014641,4993
ENSG00000014824,7225
ENSG00000014914,4591
ENSG00000014919,4177
ENSG00000015133,12426
ENSG00000015153,10840
ENSG00000015171,5300
ENSG00000015285,2381
ENSG00000015413,2712
ENSG00000015475,4418
ENSG00000015479,14669
ENSG00000015520,5252
ENSG00000015532,5472
ENSG00000015568,14175
ENSG00000015592,3294
ENSG00000015676,10113
ENSG00000016082,3216
ENSG00000016391,7758
ENSG00000016402,4673
ENSG00000016490,3340
ENSG00000016602,3649
ENSG00000016864,3783
ENSG00000017260,8533
ENSG00000017373,11025
ENSG00000017427,8087
ENSG00000017483,4016
ENSG00000017621,4948
ENSG00000017797,4979
ENSG00000018189,8070
ENSG00000018236,7492
ENSG00000018280,8676
ENSG00000018408,8413
ENSG00000018510,8197
ENSG00000018610,2606
ENSG00000018625,6298
ENSG00000018699,3185
ENSG00000018869,3152
ENSG00000019102,1432
ENSG00000019144,21988
ENSG00000019169,2079
ENSG00000019186,3972
ENSG00000019485,5527
ENSG00000019505,5424
ENSG00000019549,2282
ENSG00000019582,3184
ENSG00000019991,8897
ENSG00000019995,5993
ENSG00000020129,4917
ENSG00000020181,7061
ENSG00000020256,6997
ENSG00000020426,3865
ENSG00000020577,12170
ENSG00000020633,4605
ENSG00000020922,3538
ENSG00000021300,4933
ENSG00000021355,3226
ENSG00000021461,2630
ENSG00000021488,2597
ENSG00000021574,5213
ENSG00000021645,11335
ENSG00000021762,7466
ENSG00000021776,9779
ENSG00000021826,10444
ENSG00000021852,2729
ENSG00000022267,4945
ENSG00000022277,3501
ENSG00000022355,5494
ENSG00000022556,6313
ENSG00000022567,8608
ENSG00000022840,5911
ENSG00000022976,5595
ENSG00000023041,2404
ENSG00000023171,9770
ENSG00000023191,7367
ENSG00000023228,12268
ENSG00000023287,7615
ENSG00000023318,4854
ENSG00000023330,2536
ENSG00000023445,7484
ENSG00000023516,9913
ENSG00000023572,1299
ENSG00000023608,2656
ENSG00000023697,2848
ENSG00000023734,2211
ENSG00000023839,6232
ENSG00000023892,2675
ENSG00000023902,6629
ENSG00000023909,5374
ENSG00000024048,8997
ENSG00000024422,3923
ENSG00000024526,5904
ENSG00000024862,1496
ENSG00000025039,5072
ENSG00000025156,2702
ENSG00000025293,7812
ENSG00000025423,2272
ENSG00000025434,4346
ENSG00000025708,3320
ENSG00000025770,3159
ENSG00000025772,2062
ENSG00000025796,8587
ENSG00000025800,7687
ENSG00000026025,4965
ENSG00000026036,8738
ENSG00000026103,3562
ENSG00000026297,7478
ENSG00000026508,10060
ENSG00000026559,6320
ENSG00000026652,9419
ENSG00000026751,4604
ENSG00000026950,5547
ENSG00000027001,3407
ENSG00000027075,8809
ENSG00000027644,5101
ENSG00000027697,2680
ENSG00000027847,4927
ENSG00000027869,2512
ENSG00000028116,3557
ENSG00000028137,3766
ENSG00000028203,8757
ENSG00000028277,8899
ENSG00000028310,9577
ENSG00000028528,9796
ENSG00000028839,5039
ENSG00000029153,5002
ENSG00000029363,9297
ENSG00000029364,7136
ENSG00000029534,10799
ENSG00000029559,1033
ENSG00000029639,2736
ENSG00000029725,6555
ENSG00000029993,3967
ENSG00000030066,8471
ENSG00000030110,2267
ENSG00000030304,4159
ENSG00000030419,12220
ENSG00000030582,3520
ENSG00000031003,6808
ENSG00000031081,9384
ENSG00000031691,1733
ENSG00000031698,3836
ENSG00000031823,7445
ENSG00000032219,7568
ENSG00000032389,5775
ENSG00000032444,7055
ENSG00000032742,5480
ENSG00000033011,5786
ENSG00000033030,7752
ENSG00000033050,4448
ENSG00000033100,4200
ENSG00000033122,14652
ENSG00000033170,6889
ENSG00000033178,11432
ENSG00000033327,6771
ENSG00000033627,10968
ENSG00000033800,4524
ENSG00000033867,9564
ENSG00000034053,6869
ENSG00000034152,3783
ENSG00000034239,5805
ENSG00000034510,492
ENSG00000034533,3427
ENSG00000034677,6031
ENSG00000034693,2222
ENSG00000034713,3034
ENSG00000034971,2095
ENSG00000035115,11165
ENSG00000035141,3086
ENSG00000035403,5818
ENSG00000035499,3806
ENSG00000035664,7041
ENSG00000035681,6165
ENSG00000035687,3666
ENSG00000035720,1655
ENSG00000035862,5633
ENSG00000035928,6713
ENSG00000036054,5168
ENSG00000036257,11501
ENSG00000036448,7062
ENSG00000036473,1585
ENSG00000036530,9354
ENSG00000036549,9008
ENSG00000036565,3910
ENSG00000036672,4538
ENSG00000036828,5390
ENSG00000037042,2772
ENSG00000037241,1164
ENSG00000037280,8849
ENSG00000037474,5506
ENSG00000037637,8984
ENSG00000037749,7213
ENSG00000037757,3456
ENSG00000037897,2621
ENSG00000037965,3371
ENSG00000038002,2675
ENSG00000038210,7332
ENSG00000038219,15860
ENSG00000038274,5153
ENSG00000038295,7522
ENSG00000038358,6173
ENSG00000038382,17500
ENSG00000038427,14831
ENSG00000038532,11944
ENSG00000038945,7812
ENSG00000039068,6154
ENSG00000039123,6578
ENSG00000039139,16475
ENSG00000039319,11461
ENSG00000039523,6730
ENSG00000039537,4739
ENSG00000039560,7702
ENSG00000039600,3471
ENSG00000039650,3531
ENSG00000039987,2646
ENSG00000040199,12493
ENSG00000040275,4777
ENSG00000040341,8998
ENSG00000040487,2686
ENSG00000040531,3398
ENSG00000040608,3339
ENSG00000040633,2783
ENSG00000040731,3660
ENSG00000040933,13202
ENSG00000041353,7432
ENSG00000041357,3839
ENSG00000041515,8994
ENSG00000041802,4818
ENSG00000041880,2928
ENSG00000041982,8687
ENSG00000041988,4072
ENSG00000042062,6009
ENSG00000042088,6221
ENSG00000042286,5131
ENSG00000042304,2087
ENSG00000042317,6872
ENSG00000042429,10773
ENSG00000042445,4264
ENSG00000042493,2607
ENSG00000042753,1704
ENSG00000042781,20584
ENSG00000042813,2643
ENSG00000042832,11132
ENSG00000042980,9351
ENSG00000043039,4411
ENSG00000043093,8412
ENSG00000043143,9873
ENSG00000043355,3301
ENSG00000043462,7231
ENSG00000043514,3054
ENSG00000043591,2862
ENSG00000044012,597
ENSG00000044090,5628
ENSG00000044115,8830
ENSG00000044446,9029
ENSG00000044459,11167
ENSG00000044524,6674
ENSG00000044574,3908
ENSG00000046604,6190
ENSG00000046647,2424
ENSG00000046651,5212
ENSG00000046653,5675
ENSG00000046774,1991
ENSG00000046889,12058
ENSG00000047056,5656
ENSG00000047188,10816
ENSG00000047230,5510
ENSG00000047249,5090
ENSG00000047315,5901
ENSG00000047346,7755
ENSG00000047365,12428
ENSG00000047410,12350
ENSG00000047457,7296
ENSG00000047578,9692
ENSG00000047579,3078
ENSG00000047597,5206
ENSG00000047617,6012
ENSG00000047621,4939
ENSG00000047634,5475
ENSG00000047644,7114
ENSG00000047648,8357
ENSG00000047662,6622
ENSG00000047849,14901
ENSG00000047932,5025
ENSG00000047936,7856
ENSG00000048028,5719
ENSG00000048052,16827
ENSG00000048140,5218
ENSG00000048162,2852
ENSG00000048342,7570
ENSG00000048392,5548
ENSG00000048405,5793
ENSG00000048462,1118
ENSG00000048471,11298
ENSG00000048540,10268
ENSG00000048544,2110
ENSG00000048545,2317
ENSG00000048649,15740
ENSG00000048707,20346
ENSG00000048740,9873
ENSG00000048828,7296
ENSG00000048991,7898
ENSG00000049089,4151
ENSG00000049130,6030
ENSG00000049167,4847
ENSG00000049192,8567
ENSG00000049239,9321
ENSG00000049245,2760
ENSG00000049246,8059
ENSG00000049247,1783
ENSG00000049249,2284
ENSG00000049283,4642
ENSG00000049323,7329
ENSG00000049449,7225
ENSG00000049540,6542
ENSG00000049541,2197
ENSG00000049618,16334
ENSG00000049656,6557
ENSG00000049759,15717
ENSG00000049768,2578
ENSG00000049769,4162
ENSG00000049860,5067
ENSG00000049883,3637
ENSG00000050030,11719
ENSG00000050130,4350
ENSG00000050165,5059
ENSG00000050327,5818
ENSG00000050344,4249
ENSG00000050393,6057
ENSG00000050405,6317
ENSG00000050426,4400
ENSG00000050438,11415
ENSG00000050555,7594
ENSG00000050628,9882
ENSG00000050730,3768
ENSG00000050748,8955
ENSG00000050767,3878
ENSG00000050820,8335
ENSG00000051009,4736
ENSG00000051108,4178
ENSG00000051128,3422
ENSG00000051180,2863
ENSG00000051341,9099
ENSG00000051382,6531
ENSG00000051523,3357
ENSG00000051596,3437
ENSG00000051620,10356
ENSG00000051825,10304
ENSG00000052126,12596
ENSG00000052344,3008
ENSG00000052723,5894
ENSG00000052749,6801
ENSG00000052795,10868
ENSG00000052802,2892
ENSG00000052841,11284
ENSG00000052850,5750
ENSG00000053108,6733
ENSG00000053254,11033
ENSG00000053328,1774
ENSG00000053371,1781
ENSG00000053372,2822
ENSG00000053438,1294
ENSG00000053501,2431
ENSG00000053524,20568
ENSG00000053702,2803
ENSG00000053747,13522
ENSG00000053770,4371
ENSG00000053900,7494
ENSG00000053918,3971
ENSG00000054116,3313
ENSG00000054118,4736
ENSG00000054148,1908
ENSG00000054179,2633
ENSG00000054219,9430
ENSG00000054267,11073
ENSG00000054277,3480
ENSG00000054282,5353
ENSG00000054356,8261
ENSG00000054392,4296
ENSG00000054523,17693
ENSG00000054598,3447
ENSG00000054611,5305
ENSG00000054654,31405
ENSG00000054690,10817
ENSG00000054793,8317
ENSG00000054796,1867
ENSG00000054803,3024
ENSG00000054938,3073
ENSG00000054965,7823
ENSG00000054967,6322
ENSG00000054983,6825
ENSG00000055044,3299
ENSG00000055070,4747
ENSG00000055118,7017
ENSG00000055130,3548
ENSG00000055147,6543
ENSG00000055163,10509
ENSG00000055208,5758
ENSG00000055211,2248
ENSG00000055332,10753
ENSG00000055483,10409
ENSG00000055609,22650
ENSG00000055732,6623
ENSG00000055813,3982
ENSG00000055917,6858
ENSG00000055950,3573
ENSG00000055955,5462
ENSG00000055957,4543
ENSG00000056050,1436
ENSG00000056097,6792
ENSG00000056277,4634
ENSG00000056291,2359
ENSG00000056487,5753
ENSG00000056558,6449
ENSG00000056586,11545
ENSG00000056661,3511
ENSG00000056736,3038
ENSG00000056972,6553
ENSG00000056998,3646
ENSG00000057019,11274
ENSG00000057149,1777
ENSG00000057252,7033
ENSG00000057294,6069
ENSG00000057468,3266
ENSG00000057593,3792
ENSG00000057608,4033
ENSG00000057657,6369
ENSG00000057663,3924
ENSG00000057704,6515
ENSG00000057757,2186
ENSG00000057935,10580
ENSG00000058056,8440
ENSG00000058063,9196
ENSG00000058085,6543
ENSG00000058091,6841
ENSG00000058262,4697
ENSG00000058272,12490
ENSG00000058335,8683
ENSG00000058404,8159
ENSG00000058453,8871
ENSG00000058600,9454
ENSG00000058668,9721
ENSG00000058673,9700
ENSG00000058729,5502
ENSG00000058799,2259
ENSG00000058804,5135
ENSG00000058866,10978
ENSG00000059122,8413
ENSG00000059145,8504
ENSG00000059377,6271
ENSG00000059378,6285
ENSG00000059573,3756
ENSG00000059588,7743
ENSG00000059691,11757
ENSG00000059728,6321
ENSG00000059758,6547
ENSG00000059769,3675
ENSG00000059804,6159
ENSG00000059915,6327
ENSG00000060069,5296
ENSG00000060138,8615
ENSG00000060140,3424
ENSG00000060237,14370
ENSG00000060339,6002
ENSG00000060491,4702
ENSG00000060558,2613
ENSG00000060566,2678
ENSG00000060642,3382
ENSG00000060656,6700
ENSG00000060688,4011
ENSG00000060709,8738
ENSG00000060718,8265
ENSG00000060749,10537
ENSG00000060762,1525
ENSG00000060971,7106
ENSG00000060982,10372
ENSG00000061273,9936
ENSG00000061337,5706
ENSG00000061455,9350
ENSG00000061492,2089
ENSG00000061656,2240
ENSG00000061676,22520
ENSG00000061794,1979
ENSG00000061918,3724
ENSG00000061936,10157
ENSG00000061938,11297
ENSG00000061987,13121
ENSG00000062038,5009
ENSG00000062096,2215
ENSG00000062194,6493
ENSG00000062282,7904
ENSG00000062370,3848
ENSG00000062485,6402
ENSG00000062524,3490
ENSG00000062582,2613
ENSG00000062598,6714
ENSG00000062650,7280
ENSG00000062716,6916
ENSG00000062725,9866
ENSG00000062822,4856
ENSG00000063015,5103
ENSG00000063046,6146
ENSG00000063127,3599
ENSG00000063169,7147
ENSG00000063176,6008
ENSG00000063177,4209
ENSG00000063180,2075
ENSG00000063241,4408
ENSG00000063244,4115
ENSG00000063245,3849
ENSG00000063322,3835
ENSG00000063438,7678
ENSG00000063515,1033
ENSG00000063587,8148
ENSG00000063601,6332
ENSG00000063660,6514
ENSG00000063761,5317
ENSG00000063854,5052
ENSG00000063978,7276
ENSG00000064012,6808
ENSG00000064042,10862
ENSG00000064102,3345
ENSG00000064115,3888
ENSG00000064195,2715
ENSG00000064199,5205
ENSG00000064201,3793
ENSG00000064205,4981
ENSG00000064218,2387
ENSG00000064225,6288
ENSG00000064270,6693
ENSG00000064300,4150
ENSG00000064309,10600
ENSG00000064313,6547
ENSG00000064393,15220
ENSG00000064419,3933
ENSG00000064489,1931
ENSG00000064490,2533
ENSG00000064545,3281
ENSG00000064547,2980
ENSG00000064601,5856
ENSG00000064607,7744
ENSG00000064651,10664
ENSG00000064652,3550
ENSG00000064655,3618
ENSG00000064666,3928
ENSG00000064687,8365
ENSG00000064692,7325
ENSG00000064703,6019
ENSG00000064726,4169
ENSG00000064763,5411
ENSG00000064787,9024
ENSG00000064835,1569
ENSG00000064886,3295
ENSG00000064932,6476
ENSG00000064933,5152
ENSG00000064961,3857
ENSG00000064989,6144
ENSG00000064995,1580
ENSG00000064999,6766
ENSG00000065000,8618
ENSG00000065029,6789
ENSG00000065054,3550
ENSG00000065057,1658
ENSG00000065060,9844
ENSG00000065135,3206
ENSG00000065150,9671
ENSG00000065154,3388
ENSG00000065183,10275
ENSG00000065243,7014
ENSG00000065268,2474
ENSG00000065308,6908
ENSG00000065320,6431
ENSG00000065325,6052
ENSG00000065328,5454
ENSG00000065357,10215
ENSG00000065361,8651
ENSG00000065371,4395
ENSG00000065413,9228
ENSG00000065427,3815
ENSG00000065457,4486
ENSG00000065485,4030
ENSG00000065491,3462
ENSG00000065518,1889
ENSG00000065526,13294
ENSG00000065534,22166
ENSG00000065548,3125
ENSG00000065559,5714
ENSG00000065600,2914
ENSG00000065609,6657
ENSG00000065613,7974
ENSG00000065615,9635
ENSG00000065618,6426
ENSG00000065621,10344
ENSG00000065665,3916
ENSG00000065675,3285
ENSG00000065717,4038
ENSG00000065802,7410
ENSG00000065809,7019
ENSG00000065833,3378
ENSG00000065882,9027
ENSG00000065883,8921
ENSG00000065911,4870
ENSG00000065923,3838
ENSG00000065970,6296
ENSG00000065978,1930
ENSG00000065989,6644
ENSG00000066027,3820
ENSG00000066032,7538
ENSG00000066044,6956
ENSG00000066056,6694
ENSG00000066084,10361
ENSG00000066117,5136
ENSG00000066135,5172
ENSG00000066136,5990
ENSG00000066185,2195
ENSG00000066230,2783
ENSG00000066248,4687
ENSG00000066279,10887
ENSG00000066294,9255
ENSG00000066322,2458
ENSG00000066336,2069
ENSG00000066379,3672
ENSG00000066382,8198
ENSG00000066405,3877
ENSG00000066422,7416
ENSG00000066427,8470
ENSG00000066455,3295
ENSG00000066468,7543
ENSG00000066557,2884
ENSG00000066583,1940
ENSG00000066629,8899
ENSG00000066651,2690
ENSG00000066654,5092
ENSG00000066697,2763
ENSG00000066735,6756
ENSG00000066739,12722
ENSG00000066777,10970
ENSG00000066813,8155
ENSG00000066827,8900
ENSG00000066855,4629
ENSG00000066923,8583
ENSG00000066926,4473
ENSG00000066933,20250
ENSG00000067048,5738
ENSG00000067057,4827
ENSG00000067064,3589
ENSG00000067066,12691
ENSG00000067082,6139
ENSG00000067113,2016
ENSG00000067141,8117
ENSG00000067167,3878
ENSG00000067177,6350
ENSG00000067182,4005
ENSG00000067191,7094
ENSG00000067208,8276
ENSG00000067221,6178
ENSG00000067225,8572
ENSG00000067248,4728
ENSG00000067334,5985
ENSG00000067365,4824
ENSG00000067369,8843
ENSG00000067445,6716
ENSG00000067533,7883
ENSG00000067560,2582
ENSG00000067596,9302
ENSG00000067606,7636
ENSG00000067646,5737
ENSG00000067704,4162
ENSG00000067715,6494
ENSG00000067798,11179
ENSG00000067829,2710
ENSG00000067836,3683
ENSG00000067840,4381
ENSG00000067842,7534
ENSG00000067900,11064
ENSG00000067955,4129
ENSG00000067992,2695
ENSG00000068001,4545
ENSG00000068024,13443
ENSG00000068028,3677
ENSG00000068078,4834
ENSG00000068079,1973
ENSG00000068097,4866
ENSG00000068120,4032
ENSG00000068137,4839
ENSG00000068305,7030
ENSG00000068308,3329
ENSG00000068323,4278
ENSG00000068354,4223
ENSG00000068366,6415
ENSG00000068383,3701
ENSG00000068394,1735
ENSG00000068400,5779
ENSG00000068438,2740
ENSG00000068489,4080
ENSG00000068615,5326
ENSG00000068650,12172
ENSG00000068654,13519
ENSG00000068697,1946
ENSG00000068724,6949
ENSG00000068745,5624
ENSG00000068781,4294
ENSG00000068784,5045
ENSG00000068793,10435
ENSG00000068796,4774
ENSG00000068831,6084
ENSG00000068878,10259
ENSG00000068885,7175
ENSG00000068903,6204
ENSG00000068912,2592
ENSG00000068971,3376
ENSG00000068976,4981
ENSG00000068985,665
ENSG00000069011,3511
ENSG00000069018,3608
ENSG00000069020,14697
ENSG00000069122,6717
ENSG00000069188,11607
ENSG00000069206,4483
ENSG00000069248,5057
ENSG00000069275,6546
ENSG00000069329,9723
ENSG00000069345,5039
ENSG00000069399,3242
ENSG00000069424,9253
ENSG00000069431,11421
ENSG00000069482,1300
ENSG00000069493,3219
ENSG00000069509,1399
ENSG00000069535,3050
ENSG00000069667,17033
ENSG00000069696,1477
ENSG00000069702,8654
ENSG00000069712,4623
ENSG00000069764,1113
ENSG00000069812,5407
ENSG00000069849,2584
ENSG00000069869,9097
ENSG00000069943,4539
ENSG00000069956,5281
ENSG00000069966,7487
ENSG00000069974,5603
ENSG00000069998,4936
ENSG00000070010,8736
ENSG00000070018,10337
ENSG00000070019,4167
ENSG00000070031,366
ENSG00000070047,5769
ENSG00000070061,6048
ENSG00000070081,8993
ENSG00000070087,3440
ENSG00000070159,10071
ENSG00000070182,14771
ENSG00000070190,4548
ENSG00000070193,3011
ENSG00000070214,12613
ENSG00000070269,8077
ENSG00000070366,11060
ENSG00000070367,9269
ENSG00000070371,9843
ENSG00000070388,2110
ENSG00000070404,3144
ENSG00000070413,5596
ENSG00000070423,3677
ENSG00000070444,8728
ENSG00000070476,7357
ENSG00000070495,5949
ENSG00000070501,4106
ENSG00000070526,3448
ENSG00000070540,3402
ENSG00000070601,6724
ENSG00000070610,5079
ENSG00000070614,9043
ENSG00000070669,4455
ENSG00000070718,6276
ENSG00000070729,6039
ENSG00000070731,7558
ENSG00000070748,3100
ENSG00000070756,4752
ENSG00000070759,3460
ENSG00000070761,2371
ENSG00000070770,6905
ENSG00000070778,7396
ENSG00000070785,3043
ENSG00000070808,6150
ENSG00000070814,11278
ENSG00000070831,3470
ENSG00000070882,8100
ENSG00000070886,5358
ENSG00000070915,6180
ENSG00000070950,6983
ENSG00000070961,9491
ENSG00000070985,3962
ENSG00000071051,2990
ENSG00000071054,11918
ENSG00000071073,9630
ENSG00000071082,5791
ENSG00000071127,7827
ENSG00000071189,16417
ENSG00000071203,1839
ENSG00000071205,10759
ENSG00000071242,8243
ENSG00000071243,5214
ENSG00000071246,6498
ENSG00000071282,2578
ENSG00000071462,7944
ENSG00000071537,9559
ENSG00000071539,3560
ENSG00000071553,4884
ENSG00000071564,6061
ENSG00000071575,4588
ENSG00000071626,9272
ENSG00000071655,5173
ENSG00000071677,264
ENSG00000071794,6024
ENSG00000071859,2567
